Route_ID,Origin_Port,Destination_Port,Trade_Lane,Route_Type,Transshipment_Ports,Num_Transshipments,Standard_Transit_Days,Distance_KM,Avg_Freight_Rate_USD,Avg_Port_Congestion_Score,Peak_Season_Surcharge_USD,Recommended
RTE0001,Shanghai,Vancouver,Shanghai -> Vancouver,Direct,None,0,24,15123,1512.35,1.9,202.6,Yes
RTE0002,Shanghai,Vancouver,Shanghai -> Vancouver,Transshipment,Port Klang + Colombo,2,36,19244,1423.52,5.8,1102.84,No
RTE0003,Shanghai,Montreal,Shanghai -> Montreal,Direct,None,0,20,10646,1627.95,4.2,822.9,Yes
RTE0004,Shanghai,Montreal,Shanghai -> Montreal,Transshipment,Port Klang,1,29,10832,1463.3,9.6,1366.59,No
RTE0005,Shanghai,Chicago,Shanghai -> Chicago,Direct,None,0,23,11946,1870.47,6.3,957.56,Yes
RTE0006,Shanghai,Chicago,Shanghai -> Chicago,Transshipment,Salalah,1,34,21461,1742.53,7.2,538.34,No
RTE0007,Shenzhen,Seattle,Shenzhen -> Seattle,Direct,None,0,22,17938,2677.49,3.5,369.44,Yes
RTE0008,Shenzhen,Seattle,Shenzhen -> Seattle,Transshipment,Salalah,1,30,20004,2382.7,7.9,881.91,No
RTE0009,Shenzhen,Montreal,Shenzhen -> Montreal,Direct,None,0,30,12061,2464.16,2.3,470.47,Yes
RTE0010,Shenzhen,Montreal,Shenzhen -> Montreal,Transshipment,Port Klang,1,37,20597,2096.31,7.8,651.84,No
RTE0011,Shenzhen,Los Angeles,Shenzhen -> Los Angeles,Direct,None,0,15,9160,3606.98,4.1,422.78,Yes
RTE0012,Shenzhen,Los Angeles,Shenzhen -> Los Angeles,Transshipment,Colombo + Port Klang,2,21,18355,3326.84,7.5,667.3,No
RTE0013,Ningbo,Seattle,Ningbo -> Seattle,Direct,None,0,17,15062,1471.41,3.1,528.88,Yes
RTE0014,Ningbo,Seattle,Ningbo -> Seattle,Transshipment,Salalah,1,22,20931,1259.62,6.0,1347.84,No
RTE0015,Ningbo,Miami,Ningbo -> Miami,Direct,None,0,21,16786,1736.45,3.7,537.51,Yes
RTE0016,Ningbo,Miami,Ningbo -> Miami,Transshipment,Tanjung Pelepas + Colombo,2,26,18016,1552.93,4.6,1117.36,No
RTE0017,Ningbo,New York,Ningbo -> New York,Direct,None,0,31,9528,3540.88,6.6,878.96,Yes
RTE0018,Ningbo,New York,Ningbo -> New York,Transshipment,Tanjung Pelepas,1,42,15570,3180.19,9.4,581.1,No
RTE0019,Busan,Toronto,Busan -> Toronto,Direct,None,0,28,17105,1998.7,5.0,589.34,Yes
RTE0020,Busan,Toronto,Busan -> Toronto,Transshipment,Hong Kong,1,35,18489,1892.51,8.4,467.05,No
RTE0021,Busan,Miami,Busan -> Miami,Direct,None,0,24,17571,1360.06,3.9,935.51,Yes
RTE0022,Busan,Miami,Busan -> Miami,Transshipment,Singapore,1,36,12044,1166.95,4.4,474.76,No
RTE0023,Busan,Chicago,Busan -> Chicago,Direct,None,0,21,17333,2330.57,2.5,675.62,Yes
RTE0024,Busan,Chicago,Busan -> Chicago,Transshipment,Tanjung Pelepas,1,33,13272,2054.72,5.2,1187.81,No
RTE0025,Singapore,New York,Singapore -> New York,Direct,None,0,18,12915,3080.73,3.7,943.21,Yes
RTE0026,Singapore,New York,Singapore -> New York,Transshipment,Singapore,1,29,18224,2809.98,10.0,480.59,No
RTE0027,Singapore,Chicago,Singapore -> Chicago,Direct,None,0,20,10170,2616.48,6.6,904.69,Yes
RTE0028,Singapore,Chicago,Singapore -> Chicago,Transshipment,Hong Kong,1,28,17900,2265.28,8.2,1072.85,No
RTE0029,Singapore,Miami,Singapore -> Miami,Direct,None,0,30,17086,1221.9,2.8,730.71,Yes
RTE0030,Singapore,Miami,Singapore -> Miami,Transshipment,Hong Kong,1,35,21163,1147.33,7.3,699.58,No
RTE0031,Hong Kong,Halifax,Hong Kong -> Halifax,Direct,None,0,20,12325,3124.99,4.0,400.9,Yes
RTE0032,Hong Kong,Halifax,Hong Kong -> Halifax,Transshipment,Singapore,1,30,9722,2915.41,4.0,1248.23,No
RTE0033,Hong Kong,New York,Hong Kong -> New York,Direct,None,0,22,15239,1652.43,4.3,542.15,Yes
RTE0034,Hong Kong,New York,Hong Kong -> New York,Transshipment,Singapore,1,27,20321,1560.73,9.4,1000.15,No
