Shipment_ID,Customer_ID,Carrier_ID,Carrier_Name,Route_ID,Route_Type,Origin_Port,Destination_Port,Num_Transshipments,ETD,ETA,Actual_Arrival,Std_Transit_Days,Actual_Transit_Days,Delay_Days,Delay_Reason,On_Time,Num_Containers,Container_Type,Commodity,Incoterms,Cargo_Value_USD,Shipment_Status
SHP0000001,CUS0048,CAR005,Hapag-Lloyd,RTE0031,Direct,Hong Kong,Halifax,0,2023-11-25,2023-12-15,2023-12-15,20,20,0,None,Yes,2,40GP,Auto Parts,DAP,968906.26,Delivered
SHP0000002,CUS0026,CAR002,MSC,RTE0023,Direct,Busan,Chicago,0,2022-01-29,2022-02-19,2022-02-19,21,21,0,None,Yes,8,40HC,Machinery,CFR,411974.22,Delivered
SHP0000003,CUS0044,CAR002,MSC,RTE0023,Direct,Busan,Chicago,0,2023-04-24,2023-05-15,2023-05-15,21,21,0,None,Yes,9,40HC,Toys,CIF,665269.76,Delivered
SHP0000004,CUS0042,CAR005,Hapag-Lloyd,RTE0029,Direct,Singapore,Miami,0,2024-04-16,2024-05-16,2024-05-16,30,30,0,None,Yes,1,40HC,Textiles,FOB,142332.4,Delivered
SHP0000005,CUS0030,CAR007,Yang Ming,RTE0009,Direct,Shenzhen,Montreal,0,2024-01-30,2024-02-29,2024-03-11,30,41,11,Equipment Shortage,No,7,40RF,Furniture,DAP,672175.8,Delivered
SHP0000006,CUS0018,CAR007,Yang Ming,RTE0039,Direct,Rotterdam,Los Angeles,0,2022-03-09,2022-04-07,2022-04-07,29,29,0,None,Yes,8,20RF,Auto Parts,EXW,144386.89,Delivered
SHP0000007,CUS0004,CAR006,ONE,RTE0035,Direct,Hong Kong,Houston,0,2024-03-26,2024-04-20,2024-04-20,25,25,0,None,Yes,2,20RF,Apparel,CIF,659619.24,Delivered
SHP0000008,CUS0022,CAR001,Maersk,RTE0001,Direct,Shanghai,Vancouver,0,2023-05-14,2023-06-07,2023-06-10,24,27,3,Transshipment Delay,No,2,40RF,Auto Parts,CFR,255153.78,Delivered
SHP0000009,CUS0039,CAR003,CMA CGM,RTE0021,Direct,Busan,Miami,0,2022-01-06,2022-01-30,2022-02-04,24,29,5,Transshipment Delay,No,3,40RF,Machinery,CIF,154430.03,Delivered
SHP0000010,CUS0023,CAR001,Maersk,RTE0009,Direct,Shenzhen,Montreal,0,2023-05-03,2023-06-02,2023-06-02,30,30,0,None,Yes,3,40HC,Electronics,CIF,754632.15,Delivered
