Cost_ID,Shipment_ID,Carrier_ID,Route_ID,Route_Type,Base_Freight_USD,Fuel_Surcharge_USD,Peak_Season_Surcharge_USD,Transshipment_Fee_USD,Customs_Fee_USD,Inland_Cost_USD,Insurance_USD,Total_Landed_Cost_USD,Cost_Per_Container_USD,Cost_Year,Cost_Month
CST0000001,SHP0000001,CAR005,RTE0031,Direct,3133.86,251.77,0,0.0,1859.7,1741.51,2562.48,9549.32,4774.66,2023,11
CST0000002,SHP0000002,CAR002,RTE0023,Direct,21975.92,1978.6,0,0.0,725.49,381.56,1003.54,26065.11,3258.14,2022,1
CST0000003,SHP0000003,CAR002,RTE0023,Direct,24722.91,3136.76,997.3,0.0,356.78,2381.92,1939.45,33535.12,3726.12,2023,4
CST0000004,SHP0000004,CAR005,RTE0029,Direct,1566.93,139.96,902.26,0.0,708.1,2392.74,316.12,6026.11,6026.11,2024,4
CST0000005,SHP0000005,CAR007,RTE0009,Direct,20552.0,2145.86,0,0.0,523.34,1965.71,1773.91,26960.82,3851.55,2024,1
CST0000006,SHP0000006,CAR007,RTE0039,Direct,17482.64,1872.3,0,0.0,1293.06,738.5,432.97,21819.47,2727.43,2022,3
CST0000007,SHP0000007,CAR006,RTE0035,Direct,2055.44,164.76,1113.75,0.0,1615.43,2491.65,1579.62,9020.65,4510.32,2024,3
CST0000008,SHP0000008,CAR001,RTE0001,Direct,3975.48,603.34,1233.04,0.0,1504.42,601.44,495.75,8413.47,4206.73,2023,5
CST0000009,SHP0000009,CAR003,RTE0021,Direct,9226.59,1492.9,0,0.0,1916.93,1031.91,222.93,13891.26,4630.42,2022,1
CST0000010,SHP0000010,CAR001,RTE0009,Direct,5963.22,386.46,791.56,0.0,1565.52,2787.07,910.02,12403.85,4134.62,2023,5
CST0000011,SHP0000011,CAR002,RTE0047,Direct,16428.3,2210.66,0,0.0,1857.81,2077.06,729.97,23303.8,2330.38,2024,7
CST0000012,SHP0000012,CAR009,RTE0047,Direct,14766.56,1993.87,0,0.0,1891.07,2391.72,633.8,21677.02,2709.63,2024,7
CST0000013,SHP0000013,CAR002,RTE0005,Direct,27469.9,1567.76,0,0.0,1335.46,414.83,1136.6,31924.55,3192.45,2022,10
CST0000014,SHP0000014,CAR008,RTE0019,Direct,19397.07,1483.22,0,0.0,1131.65,2725.29,2611.24,27348.47,3038.72,2024,5
CST0000015,SHP0000015,CAR008,RTE0053,Direct,15086.61,882.97,0,0.0,498.09,2853.85,2007.93,21329.45,3047.06,2024,5
CST0000016,SHP0000016,CAR002,RTE0031,Direct,16481.94,2219.57,1249.39,0.0,787.25,2855.62,1409.19,25002.96,4167.16,2022,6
CST0000017,SHP0000017,CAR002,RTE0021,Direct,11499.81,603.75,0,0.0,1243.02,1214.97,738.7,15300.25,2185.75,2023,12
CST0000018,SHP0000018,CAR004,RTE0034,Transshipment,13538.52,1806.12,0,246.46,335.47,1757.56,1099.08,18783.21,2087.02,2024,9
CST0000019,SHP0000019,CAR009,RTE0055,Direct,2428.24,308.4,0,0.0,1809.82,2618.16,1242.88,8407.5,8407.5,2022,2
CST0000020,SHP0000020,CAR003,RTE0012,Transshipment,1928.15,214.78,0,310.89,259.57,660.37,421.03,3794.79,3794.79,2024,3
CST0000021,SHP0000021,CAR006,RTE0011,Direct,2055.44,269.75,0,0.0,1648.04,2984.52,1412.72,8370.47,4185.23,2023,10
CST0000022,SHP0000022,CAR005,RTE0006,Transshipment,10968.51,1507.37,420.92,226.42,1645.52,1330.01,364.0,16462.75,2351.82,2024,5
CST0000023,SHP0000023,CAR010,RTE0019,Direct,4095.88,546.6,0,0.0,1678.38,1608.29,57.98,7987.13,1996.78,2024,12
CST0000024,SHP0000024,CAR003,RTE0014,Transshipment,1928.15,141.19,442.85,381.67,1383.95,1105.29,399.91,5783.01,5783.01,2023,6
CST0000025,SHP0000025,CAR009,RTE0015,Direct,1845.82,182.02,0,0.0,362.04,2800.29,2695.43,7885.6,7885.6,2023,12
CST0000026,SHP0000026,CAR007,RTE0037,Direct,10926.65,1197.66,0,0.0,1837.05,1838.67,1752.01,17552.04,3510.41,2024,4
CST0000027,SHP0000027,CAR008,RTE0040,Transshipment,4310.46,672.98,374.89,281.85,1569.88,302.08,1220.94,8733.08,4366.54,2024,1
CST0000028,SHP0000028,CAR005,RTE0056,Transshipment,3207.6,282.83,0,393.07,1576.74,2162.21,600.65,8223.1,2741.03,2023,11
CST0000029,SHP0000029,CAR006,RTE0050,Transshipment,11263.25,1082.76,637.37,325.43,342.49,1738.53,366.88,15756.71,3151.34,2022,10
CST0000030,SHP0000030,CAR003,RTE0005,Direct,24604.24,2404.77,1019.5,0.0,1772.67,2533.09,1344.84,33679.11,4209.89,2024,10
CST0000031,SHP0000031,CAR008,RTE0009,Direct,10776.15,1767.65,0,0.0,834.1,2235.49,1012.63,16626.02,3325.2,2024,8
CST0000032,SHP0000032,CAR001,RTE0030,Transshipment,3975.48,456.36,0,246.76,1482.14,1410.01,1245.0,8815.75,4407.88,2024,1
CST0000033,SHP0000033,CAR001,RTE0051,Direct,17889.66,3128.81,0,0.0,925.82,1551.7,378.37,23874.36,2652.71,2023,1
CST0000034,SHP0000034,CAR002,RTE0021,Direct,13142.64,2314.69,0,0.0,432.83,1869.99,1342.89,19103.04,2387.88,2022,12
CST0000035,SHP0000035,CAR005,RTE0060,Transshipment,10692.0,1208.18,1331.2,466.78,442.8,436.34,549.58,15126.88,1512.69,2024,4
CST0000036,SHP0000036,CAR005,RTE0025,Direct,4700.79,604.65,0,0.0,939.31,1973.68,176.33,8394.76,2798.25,2022,11
CST0000037,SHP0000037,CAR005,RTE0005,Direct,9622.8,1002.73,0,0.0,1876.55,1875.2,533.06,14910.34,1656.7,2024,2
CST0000038,SHP0000038,CAR004,RTE0012,Transshipment,4512.84,749.27,0,989.69,1835.63,2859.55,1972.53,12919.51,4306.5,2024,9
CST0000039,SHP0000039,CAR009,RTE0050,Transshipment,24282.4,1701.26,904.8,482.97,1186.69,881.41,491.94,29931.47,2993.15,2024,12
CST0000040,SHP0000040,CAR010,RTE0046,Transshipment,4095.88,596.05,599.73,330.17,1478.21,1517.54,1051.24,9668.82,2417.2,2024,6
CST0000041,SHP0000041,CAR009,RTE0015,Direct,14569.44,2464.09,0,0.0,644.71,1718.02,857.28,20253.54,3375.59,2023,9
CST0000042,SHP0000042,CAR009,RTE0033,Direct,24282.4,4205.19,1342.82,0.0,372.16,840.38,1354.99,32397.94,3239.79,2022,11
CST0000043,SHP0000043,CAR002,RTE0035,Direct,5493.98,410.11,126.96,0.0,924.41,379.19,2542.3,9876.95,4938.48,2024,11
