Transit_ID,Shipment_ID,Route_ID,Carrier_ID,Route_Type,Num_Transshipments,Std_Transit_Days,Actual_Transit_Days,Delay_Days,Sailing_Days,Port_Waiting_Days,Customs_Clearance_Days,Transshipment_Wait_Days,Primary_Bottleneck,Transit_Efficiency_Pct,On_Time,Congestion_Score
TRN0000001,SHP0000001,RTE0031,CAR005,Direct,0,20,20,0,18,1,1,0,None,100.0,Yes,5.0
TRN0000002,SHP0000002,RTE0023,CAR002,Direct,0,21,21,0,20,0,1,0,None,100.0,Yes,9.9
TRN0000003,SHP0000003,RTE0023,CAR002,Direct,0,21,21,0,17,2,2,0,None,100.0,Yes,7.3
TRN0000004,SHP0000004,RTE0029,CAR005,Direct,0,30,30,0,25,2,3,0,None,100.0,Yes,7.0
TRN0000005,SHP0000005,RTE0009,CAR007,Direct,0,30,41,11,32,7,2,0,Customs Delay,73.2,No,8.1
TRN0000006,SHP0000006,RTE0039,CAR007,Direct,0,29,29,0,25,0,4,0,None,100.0,Yes,2.7
TRN0000007,SHP0000007,RTE0035,CAR006,Direct,0,25,25,0,23,1,1,0,None,100.0,Yes,4.5
TRN0000008,SHP0000008,RTE0001,CAR001,Direct,0,24,27,3,21,5,1,0,None,88.9,No,1.0
TRN0000009,SHP0000009,RTE0021,CAR003,Direct,0,24,29,5,23,4,2,0,Equipment Shortage,82.8,No,3.3
TRN0000010,SHP0000010,RTE0009,CAR001,Direct,0,30,30,0,25,1,4,0,None,100.0,Yes,3.6
TRN0000011,SHP0000011,RTE0047,CAR002,Direct,0,23,23,0,20,1,2,0,None,100.0,Yes,8.0
TRN0000012,SHP0000012,RTE0047,CAR009,Direct,0,23,34,11,24,9,1,0,None,67.6,No,2.3
TRN0000013,SHP0000013,RTE0005,CAR002,Direct,0,23,23,0,22,0,1,0,None,100.0,Yes,6.7
TRN0000014,SHP0000014,RTE0019,CAR008,Direct,0,28,30,2,22,4,4,0,Transshipment Delay,93.3,No,5.5
TRN0000015,SHP0000015,RTE0053,CAR008,Direct,0,32,32,0,28,2,2,0,None,100.0,Yes,5.6
TRN0000016,SHP0000016,RTE0031,CAR002,Direct,0,20,20,0,12,4,4,0,None,100.0,Yes,3.9
TRN0000017,SHP0000017,RTE0021,CAR002,Direct,0,24,24,0,20,3,1,0,None,100.0,Yes,6.4
TRN0000018,SHP0000018,RTE0034,CAR004,Transshipment,1,27,31,4,24,3,3,1,Weather Delay,87.1,No,1.4
TRN0000019,SHP0000019,RTE0055,CAR009,Direct,0,18,28,10,18,9,1,0,Port Congestion,64.3,No,7.0
TRN0000020,SHP0000020,RTE0012,CAR003,Transshipment,2,21,21,0,14,1,2,4,None,100.0,Yes,5.6
TRN0000021,SHP0000021,RTE0011,CAR006,Direct,0,15,28,13,15,9,4,0,None,53.6,No,3.6
TRN0000022,SHP0000022,RTE0006,CAR005,Transshipment,1,34,34,0,27,2,4,1,None,100.0,Yes,5.3
TRN0000023,SHP0000023,RTE0019,CAR010,Direct,0,28,28,0,21,4,3,0,None,100.0,Yes,6.9
TRN0000024,SHP0000024,RTE0014,CAR003,Transshipment,1,22,22,0,16,1,3,2,None,100.0,Yes,8.2
TRN0000025,SHP0000025,RTE0015,CAR009,Direct,0,21,21,0,18,1,2,0,None,100.0,Yes,7.4
TRN0000026,SHP0000026,RTE0037,CAR007,Direct,0,19,19,0,13,3,3,0,None,100.0,Yes,8.1
TRN0000027,SHP0000027,RTE0040,CAR008,Transshipment,1,33,33,0,26,3,3,1,None,100.0,Yes,4.0
TRN0000028,SHP0000028,RTE0056,CAR005,Transshipment,2,28,28,0,19,3,2,4,None,100.0,Yes,2.1
TRN0000029,SHP0000029,RTE0050,CAR006,Transshipment,1,33,33,0,26,2,4,1,None,100.0,Yes,3.8
TRN0000030,SHP0000030,RTE0005,CAR003,Direct,0,23,31,8,20,8,3,0,Customs Delay,74.2,No,8.1
TRN0000031,SHP0000031,RTE0009,CAR008,Direct,0,30,30,0,23,3,4,0,None,100.0,Yes,7.1
TRN0000032,SHP0000032,RTE0030,CAR001,Transshipment,1,35,35,0,27,2,3,3,None,100.0,Yes,4.7
TRN0000033,SHP0000033,RTE0051,CAR001,Direct,0,21,21,0,17,3,1,0,None,100.0,Yes,8.1
TRN0000034,SHP0000034,RTE0021,CAR002,Direct,0,24,24,0,21,1,2,0,None,100.0,Yes,7.7
TRN0000035,SHP0000035,RTE0060,CAR005,Transshipment,1,31,31,0,25,1,2,3,None,100.0,Yes,8.6
TRN0000036,SHP0000036,RTE0025,CAR005,Direct,0,18,18,0,13,2,3,0,None,100.0,Yes,2.3
TRN0000037,SHP0000037,RTE0005,CAR005,Direct,0,23,34,11,23,9,2,0,Port Congestion,67.6,No,9.7
TRN0000038,SHP0000038,RTE0012,CAR004,Transshipment,2,21,21,0,15,1,3,2,None,100.0,Yes,7.6
TRN0000039,SHP0000039,RTE0050,CAR009,Transshipment,1,33,33,0,26,2,3,2,None,100.0,Yes,9.3
TRN0000040,SHP0000040,RTE0046,CAR010,Transshipment,1,35,35,0,29,2,2,2,None,100.0,Yes,6.8
TRN0000041,SHP0000041,RTE0015,CAR009,Direct,0,21,34,13,21,9,4,0,Weather Delay,61.8,No,1.4
TRN0000042,SHP0000042,RTE0033,CAR009,Direct,0,22,22,0,19,0,3,0,None,100.0,Yes,9.4
TRN0000043,SHP0000043,RTE0035,CAR002,Direct,0,25,25,0,21,2,2,0,None,100.0,Yes,2.7
TRN0000044,SHP0000044,RTE0028,CAR002,Transshipment,1,28,28,0,21,3,1,3,None,100.0,Yes,1.7
TRN0000045,SHP0000045,RTE0006,CAR006,Transshipment,1,34,40,6,31,4,2,3,None,85.0,No,6.0
TRN0000046,SHP0000046,RTE0053,CAR003,Direct,0,32,32,0,31,0,1,0,None,100.0,Yes,8.0
TRN0000047,SHP0000047,RTE0047,CAR010,Direct,0,23,25,2,20,2,3,0,None,92.0,No,2.7
